unit_id,width,thick,alloy_name,status,process_time,capacity,explanation
BD-S002,"[0,640]",,,ingotting,0.44,18卷/班,"步进炉,640规格铸锭"
BD-S002,"[640,850]",,,ingotting,0.66,12卷/班,"步进炉,850规格铸锭"
BD-S002,"[850,1040]",,,ingotting,0.8,10卷/班,"步进炉,1040规格铸锭"
BD-S002,"[0,640]",,,hot_rolling,2,4卷/班,"步进炉,640热轧板"
BD-S002,"[850,1250]",,,hot_rolling,2,4卷/班,"步进炉,850/850以上热轧板"
BD-S002,"[1040,1250]",,,ingotting,0.8,10卷/班,"步进炉,1250规格铸锭"
BD-S003,"[0,640]",,,ingotting,0.44,18卷/班,"热轧机,640规格铸锭"
BD-S003,"[640,850]",,,ingotting,0.66,12卷/班,"热轧机,850规格铸锭"
BD-S003,"[850,1040]",,,ingotting,0.8,10卷/班,"热轧机,1040规格铸锭"
BD-S003,"[0,640]",,,hot_rolling,2,4卷/班,"热轧机,640热轧板"
BD-S003,"[640,1250]",,,hot_rolling,2,4卷/班,"热轧机,850/850以上热轧板"
BD-S003,"[850,1250]",,,ingotting,0.8,10卷/班,"热轧机,1250规格铸锭"
BD-S004,[0.640],,,,0.5,16卷/班,"铣面机,640规格料卷"
BD-S004,"[640,850]",,,,0.5,16卷/班,"铣面机,850规格料卷"
BD-S004,"[850,1040]",,,,0.5,16卷/班,"铣面机,1040规格料卷"
BD-S004,"[1040,1250]",,,,0.5,16卷/班,"铣面机,1250规格料卷"
BD-S005,"[0,640]",≤1,,,0.94,8.5卷/班,"粗轧机,640规格料卷，<1.0"
BD-S005,"[0,640]",＞1,,,0.8,10卷/班,"粗轧机,640规格料卷，>1.0"
BD-S005,"[640,850]",,,,0.8,10卷/班,"粗轧机,850规格料卷"
BD-S005,"[850,1040]",,copper,,0.8,10卷/班,"粗轧机,1040规格料卷，1060大紫铜"
BD-S005,"[850,1040]",,brass,,1.33,6卷/班,"粗轧机,1040规格料卷，160大黄铜"
BD-S005,"[1040,1250]",,copper,,0.8,10卷/班,"粗轧机,1250规格料卷，1250大紫铜"
BD-S005,"[1040,1250]",,brass,,1.33,6卷/班,"粗轧机,1250规格料卷，1250大黄铜"
BD-S025,,,,,1.14,7卷/班,中轧机
BD-S009,,＞0.8,brass,,0.88,9卷/班,"森德威精轧机,黄铜厚度＞0.8mm"
BD-S009,,≤0.8,brass,,1.14,7卷/班,"森德威精轧机,黄铜厚度≤0.8mm"
BD-S009,,＞0.18,copper,,1.14,7卷/班,"森德威精轧机,紫铜厚度＞0.18mm"
BD-S009,,≤0.18,copper,,2.28,3.5卷/班,"森德威精轧机,紫铜厚度≤0.18mm"
BD-S009,,,alloy,intermediate_material,1.33,6卷/班,"森德威精轧机,合金中间料"
BD-S009,,,alloy,finished_product,1.6,5卷/班,"森德威精轧机,合金成品"
BD-S010,,＞0.8,brass,,1.33,6卷/班,"WF二十辊,黄铜厚度＞0.8mm"
BD-S010,,≤0.8,brass,,1.6,5卷/班,"WF二十辊,黄铜厚度≤0.8mm"
BD-S010,,,alloy,intermediate_material,1.77,4.5卷/班,"WF二十辊,合金中间料"
BD-S010,,,alloy,finished_product,2.66,3卷/班,"WF二十辊,合金成品"
BD-S011,,＞0.18,copper,,1.77,4.5卷/班,"WF四辊,紫铜厚度＞0.18mm"
BD-S011,,≤0.18,copper,,2.66,3卷/班,"WF四辊,紫铜厚度≤0.18mm"
BD-S006,"[0,640]",,,,2.22,5炉/天,"钟罩炉,640规格"
BD-S006,"[640,1250]",,,,2.22,5炉/天,"钟罩炉,640以上规格"
BD-S007,"[0,1250]",,,soft_state,1.14,7卷/班,"1250气垫炉,退火软态
"
BD-S007,"[0,1250]",,,semi_hard_state,1.14,7卷/班,"1250气垫炉,退火半硬态
"
BD-S008,"[0,650]",,brass,,1.77,4.5卷/班,"容克650气垫炉,黄铜"
BD-S008,"[0,650]",,copper,,1.77,4.5卷/班,"容克650气垫炉,紫铜"
BD-S024,"[0,650]",,alloy,,2,4卷/班,"WSP650气垫炉,合金"
BD-S024,"[0,650]",,copper,,2,4卷/班,"WSP650气垫炉,紫铜"
BD-S012,"[0,1250]",,,annealed_stock,1,8卷/班,"1250清洗线,退火料"
BD-S012,"[0,1250]",,,finished_product,1,8卷/班,"1250清洗线,成品"
BD-S013,"[0,325]",≥0.2,,,1.77,4.5卷/班,"650清洗线（两条）,厚度≥0.2mm"
BD-S013,"[0,325]",＜0.2,,,1.77,4.5卷/班,"650清洗线（两条）,厚度＜0.2mm"
BD-S013,"[325,650]",≥0.2,,,1.77,4.5卷/班,"650清洗线（一条）,厚度≥0.2mm"
BD-S013,"[325,650]",＜0.2,,,1.77,4.5卷/班,"650清洗线（一条）,厚度＜0.2mm"
BD-S016,"[0,640]",,,deburring,0.61,13卷/班,"修边,640规格"
BD-S016,"[0,640]",,,cross_fedding,0.66,12卷/班,"横剪供料,640规格"
BD-S016,"[0,1040]",,,cross_fedding,0.8,10卷/班,"横剪供料,1040规格"
BD-S016,"[625,1250]",,,cross_fedding,0.8,10卷/班,"横剪供料,1250规格"
BD-S016,"[625,1250]",＜1.5,,finished_product,1.33,6卷/班,"成品,一条，厚度＜1.5mm"
BD-S016,"[625,1250]",≥1.5,,finished_product,1.33,6卷/班,"成品,一条，厚度≥1.5mm"
BD-S016,"[0,625]",,,finished_product,2.66,3卷/班,"成品,多条"
BD-S020,"[0,650]",,,deburring,0.8,10卷/班,修边
BD-S020,"[0,650]",,,cross_fedding,0.8,10卷/班,横剪供料
BD-S020,"[216,650]",,,finished_product,2,4卷/班,"成品,1-2条"
BD-S020,"[0,216]",,,finished_product,2.66,3卷/班,"成品,3条以上"
BD-S020,"[0,325]",,alloy,finished_product,2.66,3卷/班,"成品,合金分条"
BD-S019,"[216,650]",,,finished_product,2,4卷/班,"成品,1-2条，厚度≤0.15mm"
BD-S019,"[216,650]",,,finished_product,1.6,5卷/班,"成品,1-2条，厚度＞0.15mm"
BD-S019,"[0,216]",,,finished_product,2.66,3卷/班,"成品,3条以上"
BD-S019,"[0,325]",,alloy,finished_product,2.66,3卷/班,"成品,合金分条"
BD-S015,,,,,1.6,5卷/班,拉矫
